CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector,Score
35.906550414147,0.2849726223345,1984,3.49 kg/km (12.4 lb/mi),3.46 L/100 km (68 mpg‑US)[49],684,Boeing 737-300,126,507 nmi (939 km),6.726487058493432
75.3274812983895,0.28750947060454,1992,7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[66],7200,Airbus A340-300,262,"6,000 nmi (11,000 km)",6.663954779897881
33.2196656892789,0.291400576221744,2004,3.24 kg/km (11.48 lb/mi),3.54 L/100 km (66.5 mpg‑US)[57],684,Embraer E-Jet-190,114,"607 nmi (1,124 km)",6.568040608217494
29.1113155319553,0.294053692241973,2010,2.83 kg/km (10.0 lb/mi),3.57 L/100 km (65.9 mpg‑US)[35],1000,Antonov An-158 (1190 nmi),99,,6.502642376844098
32.5434383978941,0.295849439980855,1998,3.16 kg/km (11.2 lb/mi),3.59 L/100 km (65.5 mpg‑US)[50],684,Boeing 737-600,110,500 nmi (930 km),6.458377925074844
28.993245118123802,0.295849439980855,2008,2.81 kg/km (10.0 lb/mi),3.59 L/100 km (65.5 mpg‑US)[59],684,Sukhoi SSJ100,98,500 nmi (930 km),6.458377925074844
30.8926842762617,0.312047315921836,2010,3 kg/km (11 lb/mi),3.79 L/100 km (62.1 mpg‑US)[35],684,Antonov An-158,99,"684 nmi (1,267 km)",6.059106867771283
9.43740502536332,0.314580167512111,1983,0.92 kg/km (3.3 lb/mi),3.82 L/100 km (61.6 mpg‑US)[42],300,Embraer Brasilia,30,,5.996673105707239
9.78375061695645,0.315604858611499,1983,0.95 kg/km (3.4 lb/mi),3.83 L/100 km (61.4 mpg‑US)[44],684,Saab 340,31,500 nmi (930 km),5.971414886657228
15.8577236650949,0.317154473301899,1992,1.54 kg/km (5.5 lb/mi),3.85 L/100 km (61.1 mpg‑US)[45],684,Saab 2000,50,500 nmi (930 km),5.933217514476857
15.8837199333984,0.317674398667967,1996,1.55 kg/km (5.49 lb/mi),3.86 L/100 km (61 mpg‑US)[43],684,Embraer ERJ-145ER,50,"598 nmi (1,107 km)",5.920401565559524
28.319446804078698,0.318196031506503,2004,2.75 kg/km (9.8 lb/mi),3.86 L/100 km (60.9 mpg‑US)[35],1000,Antonov An-148 (1190 nmi),89,,5.907543528139963
28.564089984081203,0.324591931637287,2001,2.78 kg/km (9.88 lb/mi),3.94 L/100 km (59.7 mpg‑US)[38],684,Bombardier CRJ900,88,"573 nmi (1,061 km)",5.749887189930507
28.7567651273128,0.326781421901282,2005,2.80 kg/km (9.95 lb/mi),3.97 L/100 km (59.3 mpg‑US)[57],684,Embraer E-Jet-175,88,"605 nmi (1,120 km)",5.695917144978539
29.786775654031,0.334682872517202,2004,2.89 kg/km (10.3 lb/mi),4.06 L/100 km (57.9 mpg‑US)[35],684,Antonov An-148,89,"684 nmi (1,267 km)",5.501149599335811
26.867436143842,0.335842951798024,2002,2.6 kg/km (9.3 lb/mi),4.08 L/100 km (57.7 mpg‑US)[57],684,Embraer E-Jet-170,80,"606 nmi (1,122 km)",5.472554116650463
11.3157012080269,0.35361566275084,1983,1.1 kg/km (3.9 lb/mi),4.29 L/100 km (54.8 mpg‑US)[44],300,Saab 340,32,,5.034464016495536
11.103923990409,0.358191096464806,1991,1.08 kg/km (3.8 lb/mi),4.35 L/100 km (54.1 mpg‑US)[56],684,Dornier 328,31,"600 nmi (1,100 km)",4.921681435417999
25.1198089317078,0.358854413310111,1999,2.45 kg/km (8.68 lb/mi),4.36 L/100 km (54 mpg‑US)[38],684,Bombardier CRJ700,70,"574 nmi (1,063 km)",4.905330944827926
18.0094222293179,0.360188444586357,1995,1.76 kg/km (6.23 lb/mi),4.37 L/100 km (53.8 mpg‑US)[43],300,Embraer ERJ-145ER (305 nmi),50,,4.872447616169063
18.076621565994397,0.361532431319888,1992,1.75 kg/km (6.2 lb/mi),4.39 L/100 km (53.6 mpg‑US)[45],300,Saab 2000,50,,4.8393188895351456
18.490589998803397,0.369811799976069,1995,1.80 kg/km (6.39 lb/mi),4.49 L/100 km (52.4 mpg‑US)[38],684,Bombardier CRJ200,50,"580 nmi (1,070 km)",4.635235817828451
19.262562941099397,0.385251258821988,1991,1.87 kg/km (6.65 lb/mi),4.68 L/100 km (50.3 mpg‑US)[38],684,Bombardier CRJ100,50,"577 nmi (1,069 km)",4.254659433612018
12.5526402064751,0.392270006452348,1991,1.22 kg/km (4.3 lb/mi),4.76 L/100 km (49.4 mpg‑US)[41],300,Dornier 328,32,,4.081650157733407
14.813866070115699,0.40037475865177696,1998,1.44 kg/km (5.12 lb/mi),4.86 L/100 km (48.4 mpg‑US)[43],684,Embraer ERJ-135ER,37,"596 nmi (1,104 km)",3.88187131070185
35.6007551576127,0.40455403588196304,2001,3.47 kg/km (12.31 lb/mi),4.91 L/100 km (47.9 mpg‑US)[38],300,Bombardier CRJ900,88,,3.778853825906863
30.2783411230406,0.432547730329152,1999,2.95 kg/km (10.47 lb/mi),5.25 L/100 km (44.8 mpg‑US)[38],300,Bombardier CRJ700,70,,3.0888206375748215
22.3766031394296,0.44753206278859103,1995,2.18 kg/km (7.73 lb/mi),5.43 L/100 km (43.3 mpg‑US)[38],300,Bombardier CRJ200,50,,2.719462933770482
44.6147835710664,0.450654379505721,2010,4.34 kg/km (15.4 lb/mi),5.47 L/100 km (43.0 mpg‑US)[35],300,Antonov An-158 (241 nmi),99,,2.642499095954499
22.6380120546098,0.452760241092197,1991,2.21 kg/km (7.83 lb/mi),5.50 L/100 km (42.8 mpg‑US)[38],300,Bombardier CRJ100,50,,2.5905904639072594
16.8307774129954,0.454885876026902,1998,1.64 kg/km (5.83 lb/mi),5.52 L/100 km (42.6 mpg‑US)[43],300,Embraer ERJ-135ER (309 nmi),37,,2.53819442686429
4.19238569395947,0.465820632662164,1991,0.41 kg/km (1.5 lb/mi),5.66 L/100 km (41.6 mpg‑US)[58],684,Pilatus PC-12,9,500 nmi (930 km),2.268657120922078
43.6621344397062,0.490585780221418,2004,4.23 kg/km (15.0 lb/mi),5.95 L/100 km (39.5 mpg‑US)[35],300,Antonov An-148 (241 nmi),89,,1.6582063009324526
9.74033407556016,0.512649161871588,1981,0.94 kg/km (3.3 lb/mi),6.22 L/100 km (37.8 mpg‑US)[40],300,Dornier 228,19,,1.114352912299704
4.65075319649904,0.51675035516656,2004,0.71 kg/km (2.52 lb/mi),6.28 L/100 km (37.5 mpg‑US)[62],1000,Quest Kodiak,9,,1.0132601647656374
10.284486817211599,0.54128877985324,1982,1.00 kg/km (3.56 lb/mi),6.57 L/100 km (35.8 mpg‑US)[37],300,Beechcraft 1900D (226 nm),19,,0.40839797141924405
