CO2 per mi,CO2 per mi per seat,First flight,Fuel burn,Fuel per seat,Max Range,Model,Seats,Sector
101.68079320061106,0.21773189122186523,2011,9.9 kg/km (35 lb/mi),2.65 L/100 km (89 mpg‑US)[69],3400,Boeing 747-8,467,"3,000 nmi (5,600 km)"
39.25315197899832,0.24843767075315393,1981,3.79 kg/km (13.4 lb/mi),3.00 L/100 km (78 mpg‑US)[65],3400,Boeing 757-200W,158,"3,400 nmi (6,300 km)"
50.10632908132896,0.2768305474106572,1984,4.83 kg/km (17.1 lb/mi),3.34 L/100 km (70 mpg‑US)[70],3400,Boeing 767-200ER,181,"3,000 nmi (5,600 km)"
51.94417632663859,0.2691408099825834,1984,5.01 kg/km (17.8 lb/mi),3.25 L/100 km (72 mpg‑US)[65],3400,Boeing 767-200ER,193,"3,400 nmi (6,300 km)"
50.47329050464075,0.2253271897528605,1984,4.93 kg/km (17.5 lb/mi),2.75 L/100 km (86 mpg‑US)[70],3400,Boeing 767-200ER,224,"3,000 nmi (5,600 km)"
55.58465991429776,0.2549755041940264,1988,5.38 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[64],3400,Boeing 767-300ER,218,"2,151 nmi (3,984 km)"
55.58465991429776,0.2549755041940264,1988,5.39 kg/km (19.1 lb/mi),3.09 L/100 km (76 mpg‑US)[70],3400,Boeing 767-300ER,218,"3,000 nmi (5,600 km)"
56.65999138850734,0.2106319382472392,1988,5.51 kg/km (19.5 lb/mi),2.56 L/100 km (92 mpg‑US)[70],3400,Boeing 767-300ER,269,"3,000 nmi (5,600 km)"
59.34554860115964,0.24222672898432507,1999,5.78 kg/km (20.5 lb/mi),2.95 L/100 km (80 mpg‑US)[70],3400,Boeing 767-400ER,245,"3,000 nmi (5,600 km)"
61.364104676029015,0.20185560748693754,1999,5.93 kg/km (21.0 lb/mi),2.44 L/100 km (96 mpg‑US)[70],3400,Boeing 767-400ER,304,"3,000 nmi (5,600 km)"
60.794159431360015,0.19998078760315793,1999,5.92 kg/km (21 lb/mi),2.43 L/100 km (96.9 mpg‑US)[49],3400,Boeing 767-400ER,304,"3,265 nmi (6,047 km)"
70.36109746687538,0.23069212284221435,1994,6.83 kg/km (24.2 lb/mi),2.80 L/100 km (84 mpg‑US)[71],3400,Boeing 777-200,305,"3,000 nmi (5,600 km)"
72.0101189375623,0.2392362755400741,1996,6.96 kg/km (24.7 lb/mi),2.89 L/100 km (81 mpg‑US)[66],3400,Boeing 777-200ER,301,"3,000 nmi (5,600 km)"
81.03585115111967,0.22020611725847739,1997,7.88 kg/km (28.0 lb/mi),2.68 L/100 km (88 mpg‑US)[71],3400,Boeing 777-300,368,"3,000 nmi (5,600 km)"
54.221521641875846,0.18632825306486545,2009,5.26 kg/km (18.7 lb/mi),2.26 L/100 km (104 mpg‑US)[68],3400,Boeing 787-8,291,"3,400 nmi (6,300 km)"
52.40905590751762,0.22020611725847739,2009,5.11 kg/km (18.1 lb/mi),2.68 L/100 km (88 mpg‑US)[65],3400,Boeing 787-8,238,"3,400 nmi (6,300 km)"
59.504586352512995,0.19573877089642433,2013,5.77 kg/km (20.5 lb/mi),2.37 L/100 km (99 mpg‑US)[67],3400,Boeing 787-9,304,"3,350 nmi (6,200 km)"
31.273629167877218,0.19186275563114857,2017,3.04 kg/km (10.8 lb/mi),2.33 L/100 km (101 mpg‑US)[72],3400,Irkut MC-21,163,"1,750 nmi (3,240 km)"
65.77649767348996,0.2729315256161409,1997,6.4 kg/km (23 lb/mi),3.32 L/100 km (71 mpg‑US)[66],7200,Airbus A330-200,241,"6,000 nmi (11,000 km)"
55.881143058709405,0.2253271897528605,2017,5.45 kg/km (19.3 lb/mi),2.75 L/100 km (86 mpg‑US)[74],7200,Airbus A330neo-800,248,"4,650 nmi (8,610 km)"
61.194121006566334,0.2039804033552211,2017,5.94 kg/km (21.1 lb/mi),2.48 L/100 km (95 mpg‑US)[74],7200,Airbus A330neo-900,300,"4,650 nmi (8,610 km)"
75.32748129838951,0.28750947060454013,1992,7.32 kg/km (26.0 lb/mi),3.49 L/100 km (67.4 mpg‑US)[66],7200,Airbus A340-300,262,"6,000 nmi (11,000 km)"
62.28687316739787,0.19773610529332658,2013,6.03 kg/km (21.4 lb/mi),2.39 L/100 km (98 mpg‑US)[67],7200,Airbus A350-900,315,"4,972 nmi (9,208 km)"
72.66801869529752,0.23069212284221435,2013,7.07 kg/km (25.1 lb/mi),2.81 L/100 km (84 mpg‑US)[75],7200,Airbus A350-900,315,"6,542 nmi (12,116 km)"
141.29892524085628,0.2691408099825834,2005,13.78 kg/km (48.9 lb/mi),3.27 L/100 km (72 mpg‑US)[76],7200,Airbus A380,525,"7,200 nmi (13,300 km)"
142.45550331618685,0.2618667340371082,2005,13.78 kg/km (48.9 lb/mi),3.16 L/100 km (74 mpg‑US)[77],7200,Airbus A380,544,"6,000 nmi (11,000 km)"
115.1615077228334,0.2768305474106572,1988,11.11 kg/km (39.4 lb/mi),3.34 L/100 km (70 mpg‑US)[78],7200,Boeing 747-400,416,"6,000 nmi (11,000 km)"
109.0312119861974,0.233471546008988,2011,10.54 kg/km (37.4 lb/mi),2.82 L/100 km (83 mpg‑US)[69],7200,Boeing 747-8,467,"6,000 nmi (11,000 km)"
112.11637170131617,0.2768305474106572,2011,10.9 kg/km (39 lb/mi),3.35 L/100 km (70 mpg‑US)[76],7200,Boeing 747-8,405,"7,200 nmi (13,300 km)"
76.74762676240195,0.2549755041940264,1996,7.42 kg/km (26.3 lb/mi),3.08 L/100 km (76 mpg‑US)[66],7200,Boeing 777-200ER,301,"6,000 nmi (11,000 km)"
76.74762676240195,0.2549755041940264,1996,7.44 kg/km (26.4 lb/mi),3.09 L/100 km (76 mpg‑US)[71],7200,Boeing 777-200ER,301,"6,000 nmi (11,000 km)"
78.31997570493176,0.2691408099825834,2005,7.57 kg/km (26.9 lb/mi),3.25 L/100 km (72 mpg‑US)[67],7200,Boeing 777-200LR,291,"4,972 nmi (9,208 km)"
87.32124057212704,0.2392362755400741,2003,8.49 kg/km (30.1 lb/mi),2.91 L/100 km (81 mpg‑US)[71],7200,Boeing 777-300ER,365,"6,000 nmi (11,000 km)"
87.71157344274509,0.2549755041940264,2003,8.58 kg/km (30.4 lb/mi),3.11 L/100 km (76 mpg‑US)[76],7200,Boeing 777-300ER,344,"7,200 nmi (13,300 km)"
78.9109756278832,0.1997746218427423,2020,7.69 kg/km (27.3 lb/mi),2.42 L/100 km (97 mpg‑US)[76],7200,Boeing 777-9X,395,"7,200 nmi (13,300 km)"
55.39867778182682,0.22797809786760007,2011,5.38 kg/km (19.1 lb/mi),2.77 L/100 km (85 mpg‑US)[74],7200,Boeing 787-8,243,"4,650 nmi (8,610 km)"
60.60821984799282,0.20615040764623407,2013,5.85 kg/km (20.8 lb/mi),2.49 L/100 km (94 mpg‑US)[74],7200,Boeing 787-9,294,"4,650 nmi (8,610 km)"
57.754451459792016,0.18998174822300004,2013,5.63 kg/km (20.0 lb/mi),2.31 L/100 km (102 mpg‑US)[67],7200,Boeing 787-9,304,"4,972 nmi (9,208 km)"
74.19787172046169,0.2549755041940264,2013,7.18 kg/km (25.5 lb/mi),3.08 L/100 km (76 mpg‑US)[75],7200,Boeing 787-9,291,"6,542 nmi (12,116 km)"
